Date, Open, High, Low, Close
2016-10-03,613,614,608,610
2016-10-04,610,613,610,612
2016-10-05,612,612,608,608
2016-10-06,608,613,608,612
2016-10-07,612,612,610,616
2016-10-10,616,617,614,614
2016-10-11,615,617,614,616
2016-10-12,616,640,616,638
2016-10-13,638,641,634,635
2016-10-14,635,638,634,638
2016-10-17,636,641,636,641
2016-10-18,640,641,636,637
2016-10-19,637,638,633,634
2016-10-20,634,636,625,627
2016-10-21,628,630,626,630
2016-10-24,651,655,648,649
2016-10-25,649,650,645,648
2016-10-26,648,655,648,654
2016-10-27,654,677,647,672
2016-10-28,672,685,668,687
2016-10-31,714,716,692,700
2016-11-01,700,707,682,703
2016-11-02,703,736,697,731
2016-11-03,732,732,720,730
2016-11-04,730,745,678,698
2016-11-07,709,714,700,706
2016-11-08,707,714,702,711
2016-11-09,711,739,708,718
2016-11-10,718,722,708,710
2016-11-11,710,718,710,715
2016-11-14,703,707,699,707
2016-11-15,707,716,705,712
2016-11-16,712,745,710,741
2016-11-17,741,752,737,739
2016-11-18,739,751,732,745
2016-11-21,725,739,725,736
2016-11-22,737,751,732,748
2016-11-23,748,749,732,739
2016-11-24,739,744,728,735
2016-11-25,735,737,728,737
2016-11-28,732,734,728,732
2016-11-29,732,734,729,733
2016-11-30,733,744,731,743
2016-12-01,743,755,742,753
2016-12-02,753,778,753,772
2016-12-05,764,767,746,753
2016-12-06,753,760,751,757
2016-12-07,757,768,752,766
2016-12-08,765,771,761,770
2016-12-09,770,772,766,771
2016-12-12,768,779,768,778
2016-12-13,778,788,767,779
2016-12-14,779,780,771,778
2016-12-15,778,778,775,777
2016-12-16,777,781,773,780
2016-12-19,788,792,788,790
2016-12-20,790,793,788,793
2016-12-21,793,830,792,825
2016-12-22,825,874,824,861
2016-12-23,861,912,858,903
2016-12-26,891,910,887,902
2016-12-27,902,938,898,932
2016-12-28,932,973,928,966
2016-12-29,967,983,950,965
2016-12-30,965,972,929,954
2017-01-02,1003,1034,996,1016
2017-01-03,1016,1030,1013,1025
2017-01-04,1025,1141,1024,1091
2017-01-05,1092,1153,887,970
2017-01-06,973,1029,867,892
2017-01-09,911,915,878,898
2017-01-10,898,914,895,908
2017-01-11,908,920,752,779
2017-01-12,779,825,747,823
2017-01-13,823,830,774,828
2017-01-16,817,835,816,830
2017-01-17,829,906,827,897
2017-01-18,897,915,849,871
2017-01-19,871,905,871,904
